,X_Min,X_Max,Y_Min,Y_Max,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index ,Empty_Index,Square_Index,Outside_X_Index ,Edges_X_Index ,Edges_Y_Index ,Outside_Global_Index ,LogOfAreas ,Log_X_Index ,Log_Y_Index ,Orientation_Index ,Luminosity_Index ,SigmoidOfAreas ,Z_Scratch
0,0.7224287484510533,0.7224264705882353,0.28805548040020235,0.2880530217647783,0.0007926473767302313,0.002967359050445104,0.0008814941325546802,0.001346542935636145,0.5918367346938775,0.43975903614457834,1.0,1.0,0.0,0.44444444444444453,0.6395822454308094,0.5695518593071299,0.7345971563981043,0.01545644823699887,0.5696022727272726,0.7713138118683597,0.0,0.366375161283716,0.37069194312796205,0.26911968441073564,0.3152351849830841,0.6325286055576511,0.3642451759364359,1
1,0.004337050805452293,0.007965686274509803,0.0016012038287017934,0.0015986378094935913,0.00035374345738373956,0.001052933856609553,0.0002754669164233376,0.0005505918128671115,0.5510204081632653,0.37349397590361444,0.048387096774193505,1.0,0.0,0.2222222222222222,0.010757180156657963,0.2354062930395169,0.49581526671372395,0.011914345516019963,0.9219764610389609,0.9999999999999999,0.0,0.29639338890368033,0.29505213270142183,0.18273181956935214,0.18601986249045072,0.5809757324280145,0.06617480136208856,1
2,0.02292441140024783,0.02879901960784314,0.005305548232087869,0.005305403203729071,0.0014673802676658826,0.002967359050445104,0.0016528014985400254,0.0021838186397845805,0.5102040816326531,0.37349397590361444,0.048387096774193505,1.0,0.0,0.2222222222222222,0.057127937336814615,0.46085390401525583,0.6369869920338812,0.016583480920946702,0.47727272727272724,0.7492873801502978,1.0,0.4204845679644459,0.3424075829383887,0.3282457087843708,0.6552984830295755,0.5548849490758204,0.6111237230419977,1
3,0.024163568773234202,0.027573529411764705,0.0073645132513221615,0.007368331017005102,0.0028430492686026478,0.003733129127979324,0.003030136080656713,0.0033467734560566997,0.36224489795918363,0.2831325301204819,0.048387096774193505,1.0,0.0,0.2222222222222222,0.060156657963446464,0.37207331285093764,0.20772411011394573,0.011914345516019963,0.2823660714285714,0.9999999999999999,1.0,0.4789358346816311,0.29505213270142183,0.4105008570690586,0.8875914001964422,0.4391424619640387,0.9110102156640181,1
4,0.11957868649318464,0.12193627450980392,0.00938583301460777,0.009383882299282924,0.0005371659908419749,0.0016272614147602184,0.0005509338328466751,0.00076825761416196,0.5051020408163265,0.28915662650602414,0.048387096774193505,1.0,0.0,0.2222222222222222,0.2977545691906005,0.38521029770102766,0.9160028234345063,0.011914345516019963,0.6262175324675324,0.9999999999999999,0.0,0.33245949986687695,0.29505213270142183,0.24453471716721067,0.41340172432609407,0.5346410159688167,0.14097616345062428,1
5,0.08983890954151177,0.09375,0.011919973356378035,0.01191814257365194,0.0003995990907482984,0.0017229826744519958,0.000771307365985345,0.0006472171388481778,0.5561224489795918,0.42168674698795183,0.048387096774193505,1.0,0.0,0.2222222222222222,0.22370757180156656,0.6621464138150228,0.8559040032267823,0.014168410883915631,0.695616883116883,0.7408655091992743,0.0,0.30685891002928706,0.3204170616113744,0.25341066522647754,0.38087962457710356,0.6036715704765497,0.19421112372304203,1
6,0.024163568773234202,0.03308823529411765,0.01396536559625668,0.013983631280495441,0.01040267796898849,0.013496697616540635,0.009420968541678145,0.013267433710712746,0.4081632653061224,0.27710843373493976,0.048387096774193505,1.0,0.0,0.2222222222222222,0.060156657963446464,0.5848077126814282,0.11697085812241605,0.022540653678956683,0.1344358766233766,0.9774552993003368,1.0,0.5940156061195649,0.3871848341232228,0.5231408645830887,0.9367019535086762,0.47516660379730913,1.0,1
7,0.08736059479553904,0.10784313725490195,0.015964149424008377,0.01597946368230374,0.014837572795817966,0.019048530678663734,0.008814941325546803,0.02144383428618558,0.4897959183673469,0.34337349397590367,0.048387096774193505,1.0,0.0,0.2222222222222222,0.2175456919060052,0.6582265070452378,0.2747806796410205,0.046369344710996616,0.19237012987012986,0.8792433272868619,1.0,0.6255555327994756,0.49736492890995265,0.5082302110972832,0.8513041580268471,0.5383503080598516,1.0,1
8,0.042131350681536554,0.05943627450980392,0.017931306114959647,0.01793380960831901,0.0033998676737437197,0.008423470852876425,0.002919949314087378,0.005407222259990455,0.5306122448979591,0.39156626506024095,0.048387096774193505,1.0,0.0,0.2222222222222222,0.10485639686684073,0.7166013348871703,0.7588988605425028,0.039124134599903396,0.3799715909090909,0.8079813423166623,1.0,0.49476723943719664,0.47131753554502376,0.3904477892314556,0.5893266397468078,0.5925436942034452,0.9997729852440409,1
9,0.05018587360594796,0.053921568627450976,0.0197033220914014,0.019706972314435734,0.0025744662731816605,0.0049775055039724325,0.0031954162305107155,0.0035566747222280696,0.4693877551020408,0.34337349397590367,0.053763440860215006,1.0,0.0,0.2222222222222222,0.12480417754569188,0.4740968322915563,0.23000907532519915,0.013041378199967795,0.22960633116883114,0.9121534076185539,1.0,0.47014971224937024,0.3082085308056872,0.4086693122314321,0.8755320309942158,0.5150257764365648,0.9318955732122587,1
